Block number,Coinbase emission,Total fees
877,17577478570290,0
878,17577461807100,0
879,17577445043927,0
880,17577428280769,0
881,17577411517627,0
882,17577394754501,0
883,17577377991391,0
884,17577361228297,0
885,17577344465219,0
886,17577327702157,0
887,17577310939111,0
888,17577294176081,0
889,17577277413067,0
890,17577260650069,0
891,17577243887087,0
892,17577227124121,0
893,17577210361171,0
894,17577193598237,0
895,17577176835319,0
896,17577160072417,0
897,17577143309531,0
898,17577126546660,0
899,17577109783806,0
900,17577093020968,0
901,17577076258146,0
902,17577059495340,0
903,17577042732550,0
904,17577025969775,0
905,17577009207017,0
906,17576992444275,0
907,17576975681549,0
908,17576958918838,0
909,17576942156144,0
910,17576925393466,0
911,17576908630803,0
912,17576891868157,0
913,17576875105527,0
914,17576858342912,0
915,17576841580314,0
916,17576824817732,0
917,17576808055165,0
918,17576791292615,0
919,17576774530081,0
920,17576757767562,0
921,17576741005060,0
922,17576724242573,0
923,17576707480103,0
924,17576690717648,0
925,17576673955210,0
926,17576657192787,0
927,17576640430381,0
928,17576623667990,0
929,17576606905616,0
930,17576590143257,0
931,17576573380914,0
932,17576556618588,0
933,17576539856277,0
934,17576523093983,0
935,17576506331704,0
936,17576489569441,0
937,17576472807195,0
938,17576456044964,0
939,17576439282749,0
940,17576422520550,0
941,17576405758368,0
942,17576388996201,0
943,17576372234050,0
944,17576355471915,0
945,17576338709797,0
946,17576321947694,0
947,17576305185607,0
948,17576288423536,0
949,17576271661481,0
950,17576254899442,0
951,17576238137420,0
952,17576221375413,0
953,17576204613422,0
954,17576187851447,0
955,17576171089488,0
956,17576154327545,0
957,17576137565618,0
958,17576120803707,0
959,17576104041812,0
960,17576087279933,0
961,17576070518070,0
962,17576053756223,0
963,17576036994392,0
964,17576020232577,0
965,17576003470778,0
966,17575986708995,0
967,17575969947228,0
968,17575953185476,0
969,17575936423741,0
970,17575919662022,0
971,17575902900319,0
972,17575886138632,0
973,17575869376961,0
974,17575852615305,0
975,17575835853666,0
976,17575819092043,0
977,17575802330436,0
978,17575785568844,0
979,17575768807269,0
980,17575752045710,0
981,17575735284166,0
982,17575718522639,0
983,17575701761128,0
984,17575684999632,0
985,17575668238153,0
986,17575651476690,0
987,17575634715242,0
988,17575617953811,0
989,17575601192395,0
990,17575584430996,0
991,17575567669612,0
992,17575550908245,0
993,17575534146894,0
994,17575517385558,0
995,17575500624238,0
996,17575483862935,0
997,17575467101647,0
998,17575450340376,0
999,17575433579120,0
1000,17575416817881,0
1001,17575400056657,0
1002,17575383295449,0
1003,17575366534258,0
1004,17575349773082,0
1005,17575333011922,0
1006,17575316250779,0
1007,17575299489651,0
1008,17575282728539,0
1009,17575265967443,0
1010,17575249206364,0
1011,17575232445300,0
1012,17575215684252,0
1013,17575198923220,0
1014,17575182162205,0
1015,17575165401205,0
1016,17575148640221,0
1017,17575131879253,0
1018,17575115118301,0
1019,17575098357365,0
1020,17575081596445,0
1021,17575064835541,0
1022,17575048074653,0
1023,17575031313781,0
1024,17575014552925,0
1025,17574997792086,0
1026,17574981031261,0
1027,17574964270453,0
1028,17574947509661,0
1029,17574930748885,0
1030,17574913988125,0
1031,17574897227381,0
1032,17574880466653,0
1033,17574863705941,0
1034,17574846945245,0
1035,17574830184565,0
1036,17574813423901,0
1037,17574796663252,0
1038,17574779902620,0
1039,17574763142004,0
1040,17574746381404,0
1041,17574729620820,0
1042,17574712860251,0
1043,17574696099699,0
1044,17574679339163,0
1045,17574662578642,0
1046,17574645818138,0
1047,17574629057650,0
1048,17574612297177,0
1049,17574595536721,0
1050,17574578776281,0
1051,17574562015856,0
1052,17574545255448,0
1053,17574528495055,0
1054,17574511734679,0
1055,17574494974318,0
1056,17574478213974,0
1057,17574461453646,0
1058,17574444693333,0
1059,17574427933036,0
1060,17574411172756,0
1061,17574394412491,0
1062,17574377652243,0
1063,17574360892010,0
1064,17574344131794,0
1065,17574327371593,0
1066,17574310611408,0
1067,17574293851240,0
1068,17574277091087,0
1069,17574260330950,0
1070,17574243570830,0
1071,17574226810725,0
1072,17574210050636,0
1073,17574193290563,0
1074,17574176530507,0
1075,17574159770466,0
1076,17574143010441,0
1077,17574126250432,0
1078,17574109490439,0
1079,17574092730462,0
1080,17574075970502,0
1081,17574059210557,0
1082,17574042450628,0
1083,17574025690715,0
1084,17574008930818,0
1085,17573992170937,0
1086,17573975411072,0
1087,17573958651223,0
1088,17573941891390,0
1089,17573925131573,0
1090,17573908371772,0
1091,17573891611987,0
1092,17573874852218,0
1093,17573858092465,0
1094,17573841332728,0
1095,17573824573007,0
1096,17573807813301,0
1097,17573791053612,0
1098,17573774293939,0
1099,17573757534282,0
1100,17573740774641,0
1101,17573724015015,0
1102,17573707255406,0
1103,17573690495813,0
1104,17573673736236,0
1105,17573656976674,0
1106,17573640217129,0
1107,17573623457600,0
1108,17573606698086,0
1109,17573589938589,0
1110,17573573179108,0
1111,17573556419642,0
1112,17573539660193,0
1113,17573522900760,0
1114,17573506141342,0
1115,17573489381941,0
1116,17573472622555,0
1117,17573455863186,0
1118,17573439103832,0
1119,17573422344495,0
1120,17573405585173,0
1121,17573388825868,0
1122,17573372066578,0
1123,17573355307304,0
1124,17573338548047,0
1125,17573321788805,0
1126,17573305029579,0
1127,17573288270370,0
1128,17573271511176,0
1129,17573254751998,0
1130,17573237992837,0
1131,17573221233691,0
1132,17573204474561,0
1133,17573187715448,0
1134,17573170956350,0
1135,17573154197268,0
1136,17573137438202,0
1137,17573120679152,0
1138,17573103920118,0
1139,17573087161101,0
1140,17573070402099,0
1141,17573053643113,0
1142,17573036884143,0
1143,17573020125189,0
1144,17573003366251,0
1145,17572986607329,0
1146,17572969848423,0
1147,17572953089533,0
1148,17572936330659,0
1149,17572919571801,0
1150,17572902812959,0
1151,17572886054133,0
1152,17572869295323,0
1153,17572852536529,0
1154,17572835777750,0
1155,17572819018988,0
1156,17572802260242,0
1157,17572785501512,0
1158,17572768742798,0
1159,17572751984100,0
1160,17572735225417,0
1161,17572718466751,0
1162,17572701708101,0
1163,17572684949466,0
1164,17572668190848,0
1165,17572651432246,0
1166,17572634673660,0
1167,17572617915089,0
1168,17572601156535,0
1169,17572584397996,0
1170,17572567639474,0
1171,17572550880968,0
1172,17572534122477,0
1173,17572517364003,0
1174,17572500605544,0
1175,17572483847102,0
1176,17572467088675,0
1177,17572450330265,0
1178,17572433571870,0
1179,17572416813491,0
1180,17572400055129,0
1181,17572383296782,0
1182,17572366538452,0
1183,17572349780137,0
1184,17572333021838,0
1185,17572316263556,0
1186,17572299505289,0
1187,17572282747038,0
1188,17572265988803,0
1189,17572249230585,0
1190,17572232472382,0
1191,17572215714195,0
1192,17572198956024,0
1193,17572182197870,0
1194,17572165439731,0
1195,17572148681608,0
1196,17572131923501,0
1197,17572115165410,0
1198,17572098407335,0
1199,17572081649276,0
1200,17572064891233,0
1201,17572048133206,0
1202,17572031375195,0
1203,17572014617200,0
1204,17571997859221,0
1205,17571981101258,0
1206,17571964343311,0
1207,17571947585380,0
1208,17571930827465,0
1209,17571914069566,0
1210,17571897311683,0
